J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
93,0.0100225,0.0100232,-2.99E-07,-2.03E-07,1.96E-09,-1.73E-08
94,0.010022,0.0100231,-9.33E-08,-2.62E-07,-5.90E-08,-5.10E-08
95,0.010022,0.0100233,2.02E-07,-3.64E-07,-1.02E-07,-8.51E-08
96,0.0100219,0.0100237,4.08E-07,-5.12E-07,-1.47E-07,-1.21E-07
97,0.0100223,0.0100242,4.37E-07,-7.06E-07,-1.95E-07,-1.58E-07
98,0.0100227,0.0100245,2.90E-07,-9.44E-07,-2.38E-07,-1.92E-07
99,0.010023,0.0100243,-1.23E-07,-1.22E-06,-2.75E-07,-2.23E-07
100,0.0100247,0.0100237,-6.53E-07,-1.52E-06,-2.97E-07,-2.48E-07
101,0.0100269,0.0100223,-1.36E-06,-1.83E-06,-3.18E-07,-2.64E-07
102,0.010029,0.0100203,-2.01E-06,-2.17E-06,-3.36E-07,-2.71E-07
103,0.0100303,0.0100176,-2.69E-06,-2.53E-06,-3.62E-07,-2.70E-07
104,0.0100289,0.0100142,-3.39E-06,-2.91E-06,-3.77E-07,-2.61E-07
105,0.0100257,0.0100102,-4.04E-06,-3.28E-06,-3.67E-07,-2.44E-07
106,0.0100204,0.0100056,-4.54E-06,-3.62E-06,-3.44E-07,-2.19E-07
107,0.0100128,0.0100008,-4.87E-06,-3.92E-06,-2.99E-07,-1.88E-07
108,0.0100021,0.0099957,-5.07E-06,-4.16E-06,-2.42E-07,-1.52E-07
109,0.00999189,0.00999056,-5.13E-06,-4.33E-06,-1.65E-07,-1.13E-07
110,0.00998166,0.00998534,-5.22E-06,-4.42E-06,-9.23E-08,-7.39E-08
111,0.00997098,0.00998009,-5.25E-06,-4.43E-06,-1.57E-08,-3.37E-08
112,0.00996164,0.00997502,-5.07E-06,-4.37E-06,6.29E-08,6.42E-09
113,0.0099545,0.00997015,-4.87E-06,-4.23E-06,1.38E-07,4.32E-08
114,0.00995002,0.00996555,-4.60E-06,-4.03E-06,2.00E-07,7.61E-08
115,0.00994862,0.00996127,-4.28E-06,-3.79E-06,2.42E-07,1.04E-07
