J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
226,0.00385578,0.00384178,-0.000105803,-0.000107069,-2.67E-07,-1.47E-07
227,0.00374875,0.00373519,-0.000106589,-0.000107522,-4.53E-07,-2.67E-07
228,0.00363597,0.00362742,-0.000107768,-0.000108025,-5.02E-07,-3.59E-07
229,0.0035223,0.00351803,-0.000109389,-0.000108439,-4.15E-07,-3.85E-07
230,0.00340599,0.00340776,-0.000110273,-0.000108794,-3.55E-07,-2.77E-07
231,0.00328835,0.00329724,-0.000110519,-0.000108952,-1.58E-07,-5.59E-08
232,0.00317689,0.00318687,-0.000110371,-0.000108816,1.36E-07,2.21E-07
233,0.00306986,0.00307723,-0.000109634,-0.000108461,3.55E-07,5.27E-07
234,0.00296593,0.00296843,-0.000108799,-0.00010791,5.51E-07,8.28E-07
235,0.00286111,0.00286121,-0.000107228,-0.000107293,6.17E-07,1.13E-06
236,0.0027554,0.00275584,-0.000105361,-0.000106638,6.55E-07,1.33E-06
237,0.00264926,0.00265127,-0.000104575,-0.000105918,7.20E-07,1.38E-06
238,0.00254311,0.00254684,-0.000104428,-0.000105126,7.91E-07,1.34E-06
239,0.00244094,0.00244212,-0.000104722,-0.000104291,8.35E-07,1.22E-06
240,0.0023401,0.0023375,-0.000104624,-0.000103642,6.50E-07,1.08E-06
241,0.00223572,0.00223361,-0.000103887,-0.000103287,3.55E-07,8.91E-07
242,0.00213002,0.0021311,-0.000102512,-0.000103107,1.80E-07,6.15E-07
243,0.00202343,0.00202981,-0.000101284,-0.000103019,8.73E-08,2.28E-07
244,0.00191949,0.00192843,-0.000101382,-0.00010297,4.91E-08,-2.51E-07
245,0.00182042,0.00182626,-0.000102168,-0.000103074,-1.04E-07,-6.95E-07
246,0.00172665,0.00172331,-0.000102954,-0.000103456,-3.82E-07,-1.02E-06
247,0.00163155,0.00161967,-0.000103642,-0.000104215,-7.59E-07,-1.23E-06
248,0.0015285,0.00151539,-0.00010428,-0.000105295,-1.08E-06,-1.33E-06
249,0.00142059,0.00140983,-0.000105557,-0.00010642,-1.12E-06,-1.33E-06
250,0.00130914,0.0013025,-0.000107326,-0.000107364,-9.44E-07,-1.21E-06
251,0.00119724,0.00119316,-0.00010934,-0.000108014,-6.50E-07,-9.09E-07
252,0.00108491,0.00108215,-0.00011101,-0.000108325,-3.11E-07,-4.26E-07
253,0.000969473,0.000970652,-0.000111501,-0.000108303,2.18E-08,2.02E-07
254,0.000854485,0.000859986,-0.000110666,-0.000107905,3.98E-07,8.68E-07
255,0.000742588,0.000751186,-0.0001088,-0.000107091,8.13E-07,1.46E-06
256,0.000632463,0.000644744,-0.000106441,-0.000105918,1.17E-06,1.92E-06
257,0.00052499,0.00054066,-0.000104084,-0.000104488,1.43E-06,2.20E-06
258,0.00042459,0.000438689,-0.000101972,-0.000102949,1.54E-06,2.30E-06
259,0.000329938,0.000338682,-0.000100007,-0.000101519,1.43E-06,2.20E-06
260,0.000239266,0.000239904,-9.88E-05,-0.000100345,1.17E-06,1.92E-06
261,0.000148149,0.000141764,-9.81E-05,-9.95E-05,8.24E-07,1.51E-06
262,5.17E-05,4.41E-05,-9.76E-05,-9.91E-05,4.15E-07,1.02E-06
263,-4.56E-05,-5.37E-05,-9.78E-05,-9.91E-05,1.09E-08,4.78E-07
264,-0.000146417,-0.000151919,-9.82E-05,-9.94E-05,-3.16E-07,-5.59E-08
265,-0.000250796,-0.000250943,-9.90E-05,-9.99E-05,-4.53E-07,-5.25E-07
266,-0.000353849,-0.000351294,-0.00010035,-0.000100394,-5.29E-07,-8.83E-07
267,-0.000455575,-0.000453167,-0.000101873,-0.000101038,-6.44E-07,-1.09E-06
268,-0.000554204,-0.000556022,-0.000102855,-0.000101742,-7.04E-07,-1.14E-06
269,-0.000651952,-0.000658878,-0.000102856,-0.000102446,-7.04E-07,-1.10E-06
270,-0.000755003,-0.000761782,-0.000102905,-0.000103052,-6.06E-07,-1.04E-06
271,-0.000865128,-0.000865227,-0.000103445,-0.000103461,-4.09E-07,-9.59E-07
272,-0.000971274,-0.00096936,-0.000104133,-0.000103663,-2.02E-07,-8.32E-07
273,-0.00107212,-0.00107393,-0.000104575,-0.000103816,-1.53E-07,-6.90E-07
274,-0.00117694,-0.00117841,-0.000104477,-0.000104035,-2.18E-07,-5.80E-07
275,-0.00128485,-0.00128245,-0.000104035,-0.000104231,-1.96E-07,-5.40E-07
276,-0.00139277,-0.00138614,-0.000103691,-0.000104368,-1.37E-07,-5.68E-07
277,-0.00149538,-0.00149037,-0.000104231,-0.000104504,-1.36E-07,-6.30E-07
278,-0.00159224,-0.00159519,-0.000104821,-0.000104766,-2.62E-07,-6.67E-07
279,-0.00169131,-0.00169986,-0.000104673,-0.000105214,-4.48E-07,-6.81E-07
280,-0.00179835,-0.00180454,-0.000104673,-0.000105732,-5.19E-07,-7.27E-07
281,-0.00190935,-0.0019099,-0.000105361,-0.000106185,-4.53E-07,-8.02E-07
282,-0.0020155,-0.00201683,-0.000106933,-0.000106485,-3.00E-07,-8.43E-07
283,-0.002119,-0.00212533,-0.000108505,-0.000106758,-2.73E-07,-7.68E-07
284,-0.00222691,-0.00223404,-0.000108702,-0.00010714,-3.82E-07,-5.69E-07
285,-0.00234102,-0.0023418,-0.000107768,-0.000107577,-4.37E-07,-3.33E-07
286,-0.00245778,-0.00244874,-0.000106933,-0.000107877,-3.00E-07,-1.28E-07
287,-0.00256879,-0.00255601,-0.000107277,-0.000107839,3.82E-08,3.82E-08
288,-0.00266963,-0.00266413,-0.000108112,-0.00010749,3.49E-07,2.42E-07
289,-0.00276826,-0.00277273,-0.000108603,-0.000107064,4.26E-07,5.24E-07
290,-0.00287175,-0.00288079,-0.000108063,-0.000106698,3.66E-07,8.58E-07
291,-0.002981,-0.00298738,-0.000106589,-0.000106332,3.66E-07,1.15E-06
292,-0.00309201,-0.00309274,-0.000105361,-0.000105792,5.40E-07,1.28E-06
293,-0.00320434,-0.00319761,-0.00010487,-0.000105044,7.48E-07,1.25E-06
294,-0.00331358,-0.00330209,-0.000104477,-0.000104144,9.01E-07,1.14E-06
